index,poem
1,"aa ki mirī jaan ko qarār nahīñ hai 
tāqat-e-bedād-e-intizār nahīñ hai 
dete haiñ jannat hayāt-e-dahr ke badle 
nashsha ba-andāza-e-ḳhumār nahīñ hai 
girya nikāle hai terī bazm se mujh ko 
haa.e ki rone pe iḳhtiyār nahīñ hai 
ham se abas hai gumān-e-ranjish-e-ḳhātir 
ḳhaak meñ ushshāq kī ġhubār nahīñ hai 
dil se uThā lutf-e-jalva-hā-e-ma.ānī 
ġhair-e-gul ā.īna-e-bahār nahīñ hai 
qatl kā mere kiyā hai ahd to baare 
vaa.e agar ahd ustuvār nahīñ hai 
tū ne qasam mai-kashī kī khaa.ī hai 'ġhālib' 
terī qasam kā kuchh e'tibār nahīñ hai"
2,"aabrū kyā ḳhaak us gul kī ki gulshan meñ nahīñ 
hai garebāñ nañg-e-pairāhan jo dāman meñ nahīñ 
zof se ai girya kuchh baaqī mire tan meñ nahīñ 
rañg ho kar uḌ gayā jo ḳhuuñ ki dāman meñ nahīñ 
ho ga.e haiñ jamā ajzā-e-nigāh-e-āftāb 
zarre us ke ghar kī dīvāroñ ke rauzan meñ nahīñ 
kyā kahūñ tārīki-e-zindān-e-ġham andher hai 
pamba nūr-e-sub.h se kam jis ke rauzan meñ nahīñ 
raunaq-e-hastī hai ishq-e-ḳhāna vīrāñ saaz se 
anjuman be-shamā hai gar barq ḳhirman meñ nahīñ 
zaḳhm silvāne se mujh par chārā-juī kā hai taan 
ġhair samjhā hai ki lazzat zaḳhm-e-sozan meñ nahīñ 
bas-ki haiñ ham ik bahār-e-nāz ke maare hue 
jalva-e-gul ke sivā gard apne madfan meñ nahīñ 
qatra qatra ik hayūlā hai na.e nāsūr kā 
ḳhuuñ bhī zauq-e-dard se fāriġh mire tan meñ nahīñ 
le ga.ī saaqī kī naḳhvat qulzum-āshāmī mirī 
mauj-e-mai kī aaj rag miinā kī gardan meñ nahīñ 
ho fishār-e-zof meñ kyā nā-tavānī kī numūd 
qad ke jhukne kī bhī gunjā.ish mire tan meñ nahīñ 
thī vatan meñ shaan kyā 'ġhālib' ki ho ġhurbat meñ qadr 
be-takalluf huuñ vo musht-e-ḳhas ki gulḳhan meñ nahīñ"
3,"aah ko chāhiye ik umr asar hote tak 
kaun jiitā hai tirī zulf ke sar hote tak 
dām-e-har-mauj meñ hai halqa-e-sad-kām-e-nahañg 
dekheñ kyā guzre hai qatre pe guhar hote tak 
āshiqī sabr-talab aur tamannā betāb 
dil kā kyā rañg karūñ ḳhūn-e-jigar hote tak 
tā-qayāmat shab-e-furqat meñ guzar jā.egī umr 
saat din ham pe bhī bhārī haiñ sahar hote tak 
ham ne maanā ki taġhāful na karoge lekin 
ḳhaak ho jā.eñge ham tum ko ḳhabar hote tak 
partav-e-ḳhur se hai shabnam ko fanā kī ta.alīm 
maiñ bhī huuñ ek ināyat kī nazar hote tak 
yak nazar besh nahīñ fursat-e-hastī ġhāfil 
garmī-e-bazm hai ik raqs-e-sharar hote tak 
ġham-e-hastī kā 'asad' kis se ho juz marg ilaaj 
sham.a har rañg meñ jaltī hai sahar hote tak"
4,"ā.īna dekh apnā sā muñh le ke rah ga.e 
sāhab ko dil na dene pe kitnā ġhurūr thā 
qāsid ko apne haath se gardan na māriye 
us kī ḳhatā nahīñ hai ye merā qusūr thā 
zof-e-junūñ ko vaqt-e-tapish dar bhī duur thā 
ik ghar meñ muḳhtasar bayābāñ zarūr thā 
ai vā.e-ġhaflat-e-nigah-e-shauq varna yaañ 
har paara sañg laḳht-e-dil-e-koh-e-tūr thā 
dars-e-tapish hai barq ko ab jis ke naam se 
vo dil hai ye ki jis kā taḳhallus subūr thā 
har rañg meñ jalā 'asad'-e-fitna-intizār 
parvāna-e-tajallī-e-sham-e-zuhūr thā 
shāyad ki mar gayā tire ruḳhsār dekh kar 
paimāna raat maah kā labrez-e-nūr thā 
jannat hai terī teġh ke kushtoñ kī muntazir 
jauhar savād-e-jalva-e-mizhgān-e-hūr thā"
5,"ā.īna kyuuñ na duuñ ki tamāshā kaheñ jise 
aisā kahāñ se lā.ūñ ki tujh sā kaheñ jise 
hasrat ne lā rakhā tirī bazm-e-ḳhayāl meñ 
gul-dasta-e-nigāh suvaidā kaheñ jise 
phūñkā hai kis ne gosh-e-mohabbat meñ ai ḳhudā 
afsūn-e-intizār tamannā kaheñ jise 
sar par hujūm-e-dard-e-ġharībī se Dāliye 
vo ek musht-e-ḳhāk ki sahrā kaheñ jise 
hai chashm-e-tar meñ hasrat-e-dīdār se nihāñ 
shauq-e-ināñ guseḳhta dariyā kaheñ jise 
darkār hai shaguftan-e-gul-hā-e-aish ko 
sub.h-e-bahār pumba-e-mīnā kaheñ jise 
'ġhālib' burā na maan jo vaa.iz burā kahe 
aisā bhī koī hai ki sab achchhā kaheñ jise 
yā rab hameñ to ḳhvāb meñ bhī mat dikhā.iyo 
ye mahshar-e-ḳhayāl ki duniyā kaheñ jise 
hai intizār se sharar ābād rustaḳhez 
mizhgān-e-koh-kan rag-e-ḳhārā kaheñ jise 
kis fursat-e-visāl pe hai gul ko andalīb 
zaḳhm-e-firāq ḳhanda-e-be-jā kaheñ jise"
6,"āmad-e-ḳhat se huā hai sard jo bāzār-e-dost 
dūd-e-sham-e-kushta thā shāyad ḳhat-e-ruḳhsār-e-dost 
ai dil-e-nā-āqibat-andesh zabt-e-shauq kar 
kaun lā saktā hai tāb-e-jalva-e-dīdār-e-dost 
ḳhāna-vīrāñ-sāzī-e-hairat tamāshā kījiye 
sūrat-e-naqsh-e-qadam huuñ rafta-e-raftār-e-dost 
ishq meñ bedād-e-rashk-e-ġhair ne maarā mujhe 
kushta-e-dushman huuñ āḳhir garche thā bīmār-e-dost 
chashm-e-mā raushan ki us bedard kā dil shaad hai 
dīda-e-pur-ḳhūñ hamārā sāġhar-e-sarshār-e-dost 
ġhair yuuñ kartā hai merī pursish us ke hijr meñ 
be-takalluf dost ho jaise koī ġham-ḳhvār-e-dost 
taaki maiñ jānūñ ki hai us kī rasā.ī vaañ talak 
mujh ko detā hai payām-e-vāda-e-dīdār-e-dost 
jab ki maiñ kartā huuñ apnā shikva-e-zof-e-dimāġh 
sar kare hai vo hadīs-e-zulf-e-ambar-bār-e-dost 
chupke chupke mujh ko rote dekh paatā hai agar 
hañs ke kartā hai bayān-e-shoḳhī-e-guftār-e-dost 
mehrbānī-hā-e-dushman kī shikāyat kījiye 
tā bayāñ kiije sipās-e-lazzat-e-āzār-e-dost 
ye ġhazal apnī mujhe jī se pasand aatī hai aap 
hai radīf-e-sher meñ 'ġhālib' zi-bas takrār-e-dost 
chashm-e-band-e-ḳhalq juz timsāl-e-ḳhud-bīnī nahīñ 
aa.ina hai qālib-e-ḳhisht-e-dar-o-dīvār-e-dost 
barq-e-ḳhirman-zār gauhar hai nigāh-e-tez yaañ 
ashk ho jaate haiñ ḳhushk az-garmī-e-raftār-e-dost 
hai savā neze pe us ke qāmat-e-nau-ḳhez se 
āftāb-e-sub.h-e-mahshar hai gul-e-dastār-e-dost 
ai adū-e-maslahat chand ba-zabt afsurda rah 
kardanī hai jam.a tāb-e-shoḳhī-e-dīdār-e-dost 
laġhzishat-e-mastāna o josh-e-tamāshā hai 'asad' 
ātish-e-mai se bahār-e-garmī-e-bāzār-e-dost"
7,"āmad-e-sailāb-e-tūfān-e-sadā-e-āb hai 
naqsh-e-pā jo kaan meñ rakhtā hai uñglī jaada se 
bazm-e-mai vahshat-kada hai kis kī chashm-e-mast kā 
shīshe meñ nabz-e-parī pinhāñ hai mauj-e-bāda se 
dekhtā huuñ vahshat-e-shauq-e-ḳharosh-āmāda se 
fāl-e-rusvā.ī sirishk-e-sar-ba-sahrā-dāda se 
daam gar sabze meñ pinhāñ kījiye tā.ūs ho 
josh-e-nairañg-e-bahār arz-e-sahrā-dāda se 
ḳhema-e-lailā siyāh o ḳhāna-e-majnūñ ḳharāb 
josh-e-vīrānī hai ishq-e-dāġh-e-bairūñ-dāda se 
bazm-e-hastī vo tamāshā hai ki jis ko ham 'asad' 
dekhte haiñ chashm-e-az-ḳhvāb-e-adam-nakushāda se"
8,"afsos ki dandāñ kā kiyā rizq falak ne 
jin logoñ kī thī dar-ḳhur-e-aqd-e-guhar añgusht 
kaafī hai nishānī tirā chhalle kā na denā 
ḳhālī mujhe dikhlā ke ba-vaqt-e-safar añgusht 
likhtā huuñ 'asad' sozish-e-dil se suḳhan-e-garm 
tā rakh na sake koī mire harf par añgusht"
9,"ajab nashāt se jallād ke chale haiñ ham aage 
ki apne saa.e se sar paañv se hai do qadam aage 
qazā ne thā mujhe chāhā ḳharāb-e-bāda-e-ulfat 
faqat ḳharāb likhā bas na chal sakā qalam aage 
ġham-e-zamāna ne jhāḌī nashāt-e-ishq kī mastī 
vagarna ham bhī uThāte the lazzat-e-alam aage 
ḳhudā ke vāste daad us junūn-e-shauq kī denā 
ki us ke dar pe pahuñchte haiñ nāma-bar se ham aage 
ye umr bhar jo pareshāniyāñ uThā.ī haiñ ham ne 
tumhāre aa.iyo ai turrah-hā-e-ḳham-ba-ḳham aage 
dil o jigar meñ pur-afshāñ jo ek mauja-e-ḳhūñ hai 
ham apne zom meñ samjhe hue the us ko dam aage 
qasam janāze pe aane kī mere khāte haiñ 'ġhālib' 
hamesha khāte the jo merī jaan kī qasam aage"
10,"arz-e-nāz-e-shoḳhi-e-dandāñ barā.e-ḳhanda hai 
dāvā-e-jamiyat-e-ahbāb jā-e-ḳhanda hai 
hai adam meñ ġhuncha mahv-e-ibrat-e-anjām-e-gul 
yak-jahāñ zaanū ta.ammul dar-qafā-e-ḳhanda hai 
kulfat-e-afsurdagī ko aish-e-betābī harām 
varna dandāñ dar dil afshurdan binā-e-ḳhanda hai 
shorish-e-bātin ke haiñ ahbāb munkir varna yaañ 
dil muhīt-e-girya o lab āshnā-e-ḳhanda hai 
ḳhud-faroshī-hā-e-hastī bas-ki jā-e-ḳhanda hai 
har shikast-e-qīmat-e-dil meñ sadā-e-ḳhanda hai 
naqsh-e-ibrat dar nazar yā naqd-e-ishrat dar bisāt 
do-jahāñ vus.at ba-qadr-e-yak-fa.zā-e-ḳhanda hai 
jā-e-istihzā hai ishrat-koshi-e-hastī 'asad' 
sub.h o shabnam fursat-e-nashv-o-numā-e-ḳhanda hai"
